timestamp, utilization.gpu [%], power.draw [W], temperature.gpu [C]
2025/07/30 14:47:25.605, 100, 359.39, 63
2025/07/30 14:47:26.645, 100, 350.36, 63
2025/07/30 14:47:27.690, 100, 350.56, 63
2025/07/30 14:47:28.734, 100, 341.09, 63
2025/07/30 14:47:29.777, 100, 351.73, 63
2025/07/30 14:47:30.822, 100, 351.43, 63
2025/07/30 14:47:31.887, 100, 350.78, 63
2025/07/30 14:47:32.930, 100, 341.77, 63
2025/07/30 14:47:33.974, 100, 351.43, 63
2025/07/30 14:47:35.017, 100, 350.18, 63
2025/07/30 14:47:36.062, 100, 350.91, 63
2025/07/30 14:47:37.088, 100, 348.54, 63
2025/07/30 14:47:38.130, 100, 350.64, 63
2025/07/30 14:47:39.194, 100, 350.91, 63
2025/07/30 14:47:40.259, 100, 350.45, 63
2025/07/30 14:47:41.306, 100, 355.23, 64
2025/07/30 14:47:42.349, 100, 352.70, 63
2025/07/30 14:47:43.390, 100, 350.06, 63
2025/07/30 14:47:44.434, 100, 351.28, 63
2025/07/30 14:47:45.498, 100, 342.64, 64
2025/07/30 14:47:46.542, 100, 351.41, 63
2025/07/30 14:47:47.587, 100, 351.14, 63
2025/07/30 14:47:48.630, 100, 350.87, 63
2025/07/30 14:47:49.673, 100, 344.40, 63
2025/07/30 14:47:50.718, 100, 352.17, 63
2025/07/30 14:47:51.761, 100, 350.93, 63
2025/07/30 14:47:52.802, 100, 351.30, 63
2025/07/30 14:47:53.847, 100, 354.35, 63
2025/07/30 14:47:54.913, 100, 350.91, 63
2025/07/30 14:47:55.976, 100, 349.68, 63
2025/07/30 14:47:57.036, 100, 349.99, 63
2025/07/30 14:47:58.077, 100, 343.60, 63
2025/07/30 14:47:59.118, 100, 350.49, 63
2025/07/30 14:48:00.143, 100, 350.87, 63
2025/07/30 14:48:01.205, 100, 349.97, 63
2025/07/30 14:48:02.231, 100, 339.27, 63
2025/07/30 14:48:03.273, 100, 349.90, 63
2025/07/30 14:48:04.318, 100, 350.08, 63
2025/07/30 14:48:05.361, 100, 350.22, 63
2025/07/30 14:48:06.425, 100, 352.64, 64
2025/07/30 14:48:07.485, 100, 350.97, 63
2025/07/30 14:48:08.530, 100, 349.37, 63
2025/07/30 14:48:09.573, 100, 350.58, 63
2025/07/30 14:48:10.633, 100, 356.23, 63
2025/07/30 14:48:11.674, 100, 350.14, 63
2025/07/30 14:48:12.718, 100, 348.63, 63
2025/07/30 14:48:13.743, 100, 349.55, 63
2025/07/30 14:48:14.790, 100, 342.02, 63
2025/07/30 14:48:15.853, 100, 350.88, 63
2025/07/30 14:48:16.878, 100, 349.31, 63
2025/07/30 14:48:17.926, 100, 349.49, 63
2025/07/30 14:48:18.970, 100, 344.88, 63
2025/07/30 14:48:19.994, 100, 349.81, 63
2025/07/30 14:48:21.037, 100, 350.21, 63
2025/07/30 14:48:22.097, 100, 349.99, 63
2025/07/30 14:48:23.143, 100, 358.27, 63
2025/07/30 14:48:24.187, 100, 348.50, 63
2025/07/30 14:48:25.213, 100, 349.77, 63
2025/07/30 14:48:26.253, 100, 349.61, 63
2025/07/30 14:48:27.292, 100, 342.62, 63
2025/07/30 14:48:28.332, 100, 347.97, 63
2025/07/30 14:48:29.372, 100, 349.26, 63
2025/07/30 14:48:30.414, 100, 349.79, 63
2025/07/30 14:48:31.478, 100, 345.44, 63
2025/07/30 14:48:32.542, 100, 350.05, 63
2025/07/30 14:48:33.574, 100, 348.14, 63
2025/07/30 14:48:34.638, 100, 346.08, 57
